time,abgw_detached_files_rate,instance
25_05_14:00,0,10.253.40.11:44444
25_05_14:05,0,10.253.40.11:44444
25_05_14:10,0,10.253.40.11:44444
25_05_14:15,0,10.253.40.11:44444
25_05_14:20,0,10.253.40.11:44444
25_05_14:25,0.016666666666666666,10.253.40.11:44444
25_05_14:30,0,10.253.40.11:44444
25_05_14:35,0,10.253.40.11:44444
25_05_14:40,0,10.253.40.11:44444
25_05_14:45,0,10.253.40.11:44444
25_05_14:50,0,10.253.40.11:44444
25_05_14:55,0,10.253.40.11:44444
25_05_14:00,0,10.253.40.12:44444
25_05_14:05,0.016666666666666666,10.253.40.12:44444
25_05_14:10,0,10.253.40.12:44444
25_05_14:15,0,10.253.40.12:44444
25_05_14:20,0,10.253.40.12:44444
25_05_14:25,0,10.253.40.12:44444
25_05_14:30,0,10.253.40.12:44444
25_05_14:35,0,10.253.40.12:44444
25_05_14:40,0,10.253.40.12:44444
25_05_14:45,0,10.253.40.12:44444
25_05_14:50,0,10.253.40.12:44444
25_05_14:55,0,10.253.40.12:44444
25_05_14:00,0,10.253.40.13:44444
25_05_14:05,0,10.253.40.13:44444
25_05_14:10,0,10.253.40.13:44444
25_05_14:15,0,10.253.40.13:44444
25_05_14:20,0,10.253.40.13:44444
25_05_14:25,0,10.253.40.13:44444
25_05_14:30,0,10.253.40.13:44444
25_05_14:35,0,10.253.40.13:44444
25_05_14:40,0,10.253.40.13:44444
25_05_14:45,0,10.253.40.13:44444
25_05_14:50,0,10.253.40.13:44444
25_05_14:55,0,10.253.40.13:44444
25_05_14:00,0,10.253.40.14:44444
25_05_14:05,0,10.253.40.14:44444
25_05_14:10,0,10.253.40.14:44444
25_05_14:15,0,10.253.40.14:44444
25_05_14:20,0.03333333333333333,10.253.40.14:44444
25_05_14:25,0,10.253.40.14:44444
25_05_14:30,0,10.253.40.14:44444
25_05_14:35,0,10.253.40.14:44444
25_05_14:40,0,10.253.40.14:44444
25_05_14:45,0,10.253.40.14:44444
25_05_14:50,0,10.253.40.14:44444
25_05_14:55,0,10.253.40.14:44444
25_05_14:00,0,10.253.40.15:44444
25_05_14:05,0,10.253.40.15:44444
25_05_14:10,0,10.253.40.15:44444
25_05_14:15,0,10.253.40.15:44444
25_05_14:20,0,10.253.40.15:44444
25_05_14:25,0,10.253.40.15:44444
